exp_id,units,epochs,batch,recurrent_dropout,MAE,RMSE,MAPE(%),combined_plot,ckpt
4,64,40,32,0.2,2.6232182599945926,3.5685454522464424,2.4603848915755004,exp4_combined_units64_ep40_bs32_rd0.2.png,lstm_best_exp4.keras
5,32,40,64,0.0,4.3483985908514455,5.896536084728807,3.809032982000021,exp5_combined_units32_ep40_bs64_rd0.0.png,lstm_best_exp5.keras
3,64,30,64,0.0,6.4608921906330385,8.338893223508267,5.66787542079318,exp3_combined_units64_ep30_bs64_rd0.0.png,lstm_best_exp3.keras
1,16,20,32,0.0,7.292588959947144,10.091088598786557,6.17844297431227,exp1_combined_units16_ep20_bs32_rd0.0.png,lstm_best_exp1.keras
2,32,20,32,0.2,8.22101016341264,10.832657172817408,7.0252249709020385,exp2_combined_units32_ep20_bs32_rd0.2.png,lstm_best_exp2.keras
6,16,30,64,0.2,10.589612708460427,14.477487141030155,8.855329943173674,exp6_combined_units16_ep30_bs64_rd0.2.png,lstm_best_exp6.keras
